source_uuid,source_label,target_uuid,target_label,relation,weight
4fd5ac39-967a-5a5c-bf53-bcb0e39e331c,心理问题,d07e4f5d-09ee-56f8-9805-43ea33d22ef1,应对技巧,推荐干预,0.9
4fd5ac39-967a-5a5c-bf53-bcb0e39e331c,心理问题,c62b763b-2eaf-5f22-b1c0-3924fab956c1,应对技巧,推荐干预,0.9
4fd5ac39-967a-5a5c-bf53-bcb0e39e331c,心理问题,6fbd033f-2226-5e90-ad64-33ffdf7b67dc,应对技巧,推荐干预,0.9
4fd5ac39-967a-5a5c-bf53-bcb0e39e331c,心理问题,686268a9-f8ab-57a3-99b9-a9d04c6c22a1,应对技巧,推荐干预,0.9
4fd5ac39-967a-5a5c-bf53-bcb0e39e331c,心理问题,40abb5bf-e32b-5ebd-8099-ba2de769b6ec,文章,科普阅读,0.95
4fd5ac39-967a-5a5c-bf53-bcb0e39e331c,心理问题,99170ec0-45e8-5320-85a8-247f53b377c4,文章,科普阅读,0.95
4fd5ac39-967a-5a5c-bf53-bcb0e39e331c,心理问题,d001ef3f-be47-5588-b960-ccef89e1e4e6,校园政策,依据政策,0.9
a1b2c3d4-5e6f-4a7b-8c9d-0e1f2a3b4c5d,校园事件,4fd5ac39-967a-5a5c-bf53-bcb0e39e331c,心理问题,诱导场景,0.8
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,cac570f9-26c8-59cf-9d3a-37752fad0ba5,症状,临床症状,0.8
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,18616742-3dd8-5ff5-9457-3c870358593a,症状,临床症状,0.8
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,b87b4823-1554-5d89-9467-aab2eb19c81f,症状,临床症状,0.8
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,9f346a6d-0a4f-5916-92f0-eab75b5ddeb7,症状,临床症状,0.8
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,030456e8-c20d-5715-a7b1-273255c7097f,症状,临床症状,0.8
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,4f716d82-919e-5d16-8618-53123eaee566,症状,临床症状,0.8
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,d4d12ac4-cdd3-549c-b2b3-0cabfd585131,症状,临床症状,0.8
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,3d61a56d-e78b-5ff1-b251-929857850490,症状,临床症状,0.8
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,15212d44-44bd-5986-9f0d-aea9ffbc0daa,症状,临床症状,0.8
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,57de6368-64a4-57fd-a083-73948db79a5e,症状,临床症状,0.8
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,686268a9-f8ab-57a3-99b9-a9d04c6c22a1,应对技巧,推荐干预,0.9
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,e6cbfc3c-2297-5c10-a41a-9d9eb660e9d0,应对技巧,推荐干预,0.9
