source_uuid,target_uuid,relation,weight
9ce7a102-2edb-504d-830c-7d6ed1aedcce,8fc87d0e-41a4-5210-b373-2bbf8690a768,位于,1.0
f7c40d5a-77fe-5a12-86e4-82812c956208,1fa155a3-f78c-5a02-817d-108a4df583a1,位于,1.0
d99ab5ea-a5f3-5b6f-9c72-df36d515f49a,1fa155a3-f78c-5a02-817d-108a4df583a1,位于,1.0
c8852743-3355-5dca-bcc1-5648408a4dc0,6bf44786-0ca6-5b33-90de-2ce6f69ac734,位于,1.0
dfdc052c-99d9-53af-8d4b-5d8979e45c8f,6bf44786-0ca6-5b33-90de-2ce6f69ac734,位于,1.0
c01494bb-56b5-507d-90d7-8b352e3e657d,7e59fb11-9fb3-5853-b46e-9f25a0d15ba4,位于,1.0
